Entity,Code,Year,World GDP in 2011 Int.$ (OWID based on World Bank & Maddison (2017))
World,OWID_WRL,1,182741034741.65
World,OWID_WRL,1000,210144734814.95
World,OWID_WRL,1500,430527281152.93
World,OWID_WRL,1600,574468657287.69
World,OWID_WRL,1700,643322924319.9
World,OWID_WRL,1820,1202360833069.54
World,OWID_WRL,1870,1923917324845.12
World,OWID_WRL,1900,3418753774525.97
World,OWID_WRL,1913,4738675759005.73
World,OWID_WRL,1940,7806368561993.03
World,OWID_WRL,1950,9251063284511.66
World,OWID_WRL,1951,9795630620603.08
World,OWID_WRL,1952,10248695160030.2
World,OWID_WRL,1953,10764850470285.1
World,OWID_WRL,1954,11132816333836
World,OWID_WRL,1955,11842436437898.3
World,OWID_WRL,1956,12399315121992.9
World,OWID_WRL,1957,12871201566887.8
World,OWID_WRL,1958,13284511884217.4
World,OWID_WRL,1959,13893343261790.1
World,OWID_WRL,1960,14620430825834.1
World,OWID_WRL,1961,15127545002954.9
World,OWID_WRL,1962,15840374754695
World,OWID_WRL,1963,16528823694955.4
World,OWID_WRL,1964,17727426671105.3
World,OWID_WRL,1965,18655619723574.3
World,OWID_WRL,1966,19672778021487.3
World,OWID_WRL,1967,20404807077047.6
World,OWID_WRL,1968,21527596152530.8
World,OWID_WRL,1969,22715480785232.6
World,OWID_WRL,1970,23866740464570.2
World,OWID_WRL,1971,24855936938791.1
World,OWID_WRL,1972,26038225943803.4
World,OWID_WRL,1973,27766317544846.9
World,OWID_WRL,1974,28412736979320.4
World,OWID_WRL,1975,28846052528336.2
World,OWID_WRL,1976,30253175726898.8
World,OWID_WRL,1977,31479913873331.4
World,OWID_WRL,1978,32864033374977.2
World,OWID_WRL,1979,34039054922029.2
World,OWID_WRL,1980,34727063368722.9
World,OWID_WRL,1981,35407765287204.7
World,OWID_WRL,1982,35799147251979.6
World,OWID_WRL,1983,36817346837588.6
World,OWID_WRL,1984,38496721899135.5
World,OWID_WRL,1985,39823610828513.1
World,OWID_WRL,1986,41231971101065.6
World,OWID_WRL,1987,42812896221874.7
World,OWID_WRL,1988,44649649324231.3
World,OWID_WRL,1989,46076842304123.1
World,OWID_WRL,1990,47043800000000
World,OWID_WRL,1991,47650900000000
World,OWID_WRL,1992,48485100000000
World,OWID_WRL,1993,49415500000000
World,OWID_WRL,1994,50886600000000
World,OWID_WRL,1995,52576600000000
World,OWID_WRL,1996,54605200000000
World,OWID_WRL,1997,56772100000000
World,OWID_WRL,1998,58159500000000
World,OWID_WRL,1999,60247500000000
World,OWID_WRL,2000,63100900000000
World,OWID_WRL,2001,64639200000000
World,OWID_WRL,2002,66420900000000
World,OWID_WRL,2003,68894900000000
World,OWID_WRL,2004,72618200000000
World,OWID_WRL,2005,76089200000000
World,OWID_WRL,2006,80202600000000
World,OWID_WRL,2007,84576500000000
World,OWID_WRL,2008,87020700000000
World,OWID_WRL,2009,86750100000000
World,OWID_WRL,2010,91329700000000
World,OWID_WRL,2011,94982400000000
World,OWID_WRL,2012,98032300000000
World,OWID_WRL,2013,101270000000000
World,OWID_WRL,2014,104720000000000
World,OWID_WRL,2015,108120000000000